cancer_type,display_name,source,accession,platform,n_cells,cell_selection,in_primary_comparison,emt_cv,emt_n_genes,ferroptosis_cv,ferroptosis_n_genes,immune_evasion_cv,immune_evasion_n_genes,housekeeping_cv,housekeeping_n_genes
Melanoma,Melanoma,GEO,GSE115978,Smart-seq2,2018,Mal (annotated),False,3.224,27,3.001,32,3.356,28,0.583,20
Chordoma,Chordoma,This study,Zenodo (Arrieta et al. 2025),10x,6730,CSC_TBXT+,True,4.632,28,5.609,33,8.548,28,1.743,20
Osteosarcoma*,Osteosarcoma,GEO,GSE162454,10x,4841,All cells (no annotation),True,5.253,28,8.973,32,7.079,28,2.152,20
BCC,Basal cell carcinoma,CellxGene Census,census_2025-11-08,10x,3452,malignant (author-labeled),True,5.488,26,4.592,31,5.274,16,1.47,17
Breast,Breast cancer,GEO,GSE176078,10x,5000,Cancer Epithelial,True,5.492,27,5.776,32,6.512,28,1.851,20
Lung_SCC,Squamous cell lung carcinoma,CellxGene Census,census_2025-11-08,10x,4496,malignant (author-labeled),True,5.791,27,5.435,33,5.76,28,2.649,20
Lung_Adeno,Lung adenocarcinoma,CellxGene Census,census_2025-11-08,10x,5000,malignant (author-labeled),True,6.061,27,4.196,32,6.46,28,1.832,20
RCC_Nonpap,Nonpapillary renal cell carcinoma,CellxGene Census,census_2025-11-08,10x,5000,malignant (author-labeled),True,6.213,24,4.423,28,8.571,18,2.737,17
GBM,Glioblastoma,CellxGene Census,census_2025-11-08,10x,4991,malignant (author-labeled),True,6.719,27,5.453,32,9.522,25,2.328,19
Breast_TNBC,Triple-negative breast carcinoma,CellxGene Census,census_2025-11-08,10x,4976,malignant (author-labeled),True,7.637,28,5.723,33,9.33,28,2.577,20
Melanoma_Uveal,Uveal melanoma,CellxGene Census,census_2025-11-08,10x,4983,malignant (author-labeled),True,7.779,27,7.243,30,7.262,26,2.13,20
Breast_Ductal,Invasive ductal breast carcinoma,CellxGene Census,census_2025-11-08,10x,4999,malignant (author-labeled),True,7.831,27,5.618,32,7.057,28,2.309,20
